mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P07147,P07147|Vx55 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07148,P07148|Vx56|Conus vexillum|Wild type|con-ikot-ikot||||nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,,nucleic acid level
P07149,P07149|Vx56 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07150,P07150|Vx58|Conus vexillum|Wild type|con-ikot-ikot||||nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,,nucleic acid level
P07151,P07151|Vx58 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07152,P07152|Vx59|Conus vexillum|Wild type|con-ikot-ikot||||nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,,nucleic acid level
P07153,P07153|Vx59 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07154,P07154|Vx60|Conus vexillum|Wild type|con-ikot-ikot||||nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,,nucleic acid level
P07155,P07155|Vx60 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07156,P07156|Vx61|Conus vexillum|Wild type|con-ikot-ikot||||nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,,nucleic acid level
P07157,P07157|Vx61 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07158,P07158|Vx66|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07159,P07159|Vx66 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07160,P07160|Vx67|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07161,P07161|Vx67 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07162,P07162|Vx68|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07163,P07163|Vx68 prescursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07164,P07164|Vx69|Conus vexillum|Wild type|con-ikot-ikot|||VIII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,VIII,nucleic acid level
P07165,P07165|Vx69 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07166,P07166|Vx70|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07167,P07167|Vx70 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07168,P07168|Vx71|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07169,P07169|Vx71 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07170,P07170|Vx72|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07171,P07171|Vx72 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07172,P07172|Vx73|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07173,P07173|Vx73 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07174,P07174|Vx74|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07175,P07175|Vx74 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07176,P07176|Vx75|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07177,P07177|Vx75 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07178,P07178|Vx76|Conus vexillum|Wild type|con-ikot-ikot|||IX|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,IX,nucleic acid level
P07179,P07179|Vx76 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07180,P07180|Vx77|Conus vexillum|Wild type|con-ikot-ikot|||XXII|nucleic acid level,Conus vexillum,Wild type,con-ikot-ikot,,,XXII,nucleic acid level
P07181,P07181|Vx77 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07182,P07182|Vx80|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07183,P07183|Vx80 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07184,P07184|Vx81|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07186,P07186|Vx82|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07187,P07187|Vx82 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07188,P07188|Vx83|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07189,P07189|Vx83 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07190,P07190|Vx84|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07191,P07191|Vx84 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07192,P07192|Vx85|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07193,P07193|Vx85 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07194,P07194|Vx86|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07195,P07195|Vx86 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07196,P07196|Vx87|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07197,P07197|Vx87 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07198,P07198|Vx88|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07199,P07199|Vx88 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07200,P07200|Vx89|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07201,P07201|Vx89 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07202,P07202|Vx90|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07203,P07203|Vx90 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07204,P07204|Vx91|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07205,P07205|Vx91 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07206,P07206|Vx92|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07207,P07207|Vx92 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07208,P07208|Vx93|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07209,P07209|Vx93 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07210,P07210|Vx94|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07211,P07211|Vx94 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07212,P07212|Vx95|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07213,P07213|Vx95 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07214,P07214|Vx96|Conus vexillum|Wild type|conantokin||||nucleic acid level,Conus vexillum,Wild type,conantokin,,,,nucleic acid level
P07215,P07215|Vx96 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07216,P07216|Vx103|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07217,P07217|Vx103 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07218,P07218|Vx104|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07219,P07219|Vx104 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07220,P07220|Vx106|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07221,P07221|Vx106 precursor|Conus vexillum|Precursor|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,XIV,nucleic acid level
P07222,P07222|Vx136 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07223,P07223|Vx107|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07224,P07224|Vx107 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07225,P07225|Vx108|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07226,P07226|Vx108 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07227,P07227|Vx110|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07228,P07228|Vx110 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07229,P07229|Vx111|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07230,P07230|Vx111 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07231,P07231|Vx118 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07232,P07232|Vx112|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07233,P07233|Vx112 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07234,P07234|Vx113|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07235,P07235|Vx113 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07236,P07236|Vx114|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07237,P07237|Vx114 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07238,P07238|Vx115 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07239,P07239|Vx120 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07240,P07240|Vx134 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07241,P07241|Vx147 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07242,P07242|Vx149 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07243,P07243|Vx158 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07244,P07244|Vx159 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07245,P07245|Vx117|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07246,P07246|Vx117 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07247,P07247|Vx162 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07248,P07248|Vx119|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07249,P07249|Vx119 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07250,P07250|Vx121|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07251,P07251|Vx121 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07252,P07252|Vx122|Conus vexillum|Wild type|conotoxin|D superfamily||XXIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XXIV,nucleic acid level
P07253,P07253|Vx122 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07254,P07254|Vx123|Conus vexillum|Wild type|conotoxin-like|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin-like,D superfamily,,,nucleic acid level
P07255,P07255|Vx123 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07256,P07256|Vx124|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07257,P07257|Vx124 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07258,P07258|Vx182 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07259,P07259|Vx125|Conus vexillum|Wild type|conotoxin|D superfamily||XV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XV,nucleic acid level
P07260,P07260|Vx125 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07261,P07261|Vx126|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07262,P07262|Vx126 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07263,P07263|Vx127|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07264,P07264|Vx127 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07265,P07265|Vx128|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07266,P07266|Vx128 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07267,P07267|Vx129|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07268,P07268|Vx129 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07269,P07269|Vx131|Conus vexillum|Wild type|conotoxin|D superfamily||XXIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XXIV,nucleic acid level
P07270,P07270|Vx131 precursor|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07271,P07271|Vx133|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07272,P07272|Vx133 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07273,P07273|Vx137|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07274,P07274|Vx137 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07275,P07275|Vx138|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07276,P07276|Vx138 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07277,P07277|Vx139|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07278,P07278|Vx139 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07279,P07279|Vx140|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07280,P07280|Vx140 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07281,P07281|Vx143|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07282,P07282|Vx143 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07283,P07283|Vx144|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07284,P07284|Vx144 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07285,P07285|Vx145|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07286,P07286|Vx145 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07287,P07287|Vx146|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07288,P07288|Vx146 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07289,P07289|Vx148|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07290,P07290|Vx148 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07291,P07291|Vx150|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07292,P07292|Vx150 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07293,P07293|Vx151|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07294,P07294|Vx151 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07295,P07295|Vx152|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07296,P07296|Vx152 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07297,P07297|Vx153|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07298,P07298|Vx153 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07299,P07299|Vx155|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07300,P07300|Vx155 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07301,P07301|Vx156|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07302,P07302|Vx156 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07303,P07303|Vx157|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07304,P07304|Vx157 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07305,P07305|Vx160|Conus vexillum|Wild type|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,,nucleic acid level
P07306,P07306|Vx160 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07307,P07307|Vx161|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07308,P07308|Vx161 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07309,P07309|Vx165|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07310,P07310|Vx165 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07311,P07311|Vx166|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07312,P07312|Vx166 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07313,P07313|Vx167|Conus vexillum|Wild type|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XIV,nucleic acid level
P07314,P07314|Vx167 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07315,P07315|Vx168|Conus vexillum|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P07316,P07316|Vx168 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
