mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P06554,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.3672285,8.382705,-2.2829537,-1.7517184,0.6574218,0.9810519,
P06555,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.836592,7.676675,-1.7463156,-1.0137596,0.22068991,0.68974257,
P06556,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.365455,8.391017,-2.0722387,-1.6529894,0.5624347,0.66574144,
P06557,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.197986,7.891088,-1.9005098,-1.3460612,0.3643428,0.5246337,
P06558,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.283784,7.2335277,-1.5029846,-1.0794792,0.37308803,0.6558539,
P06559,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.311297,7.323205,-1.6192434,-1.1587776,0.43452093,0.68480223,
P06561,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.2832775,7.2078967,-1.561959,-0.98909444,0.51961374,0.5622633,
P06562,Conus marmoreus,Wild type,conotoxin,O1 superfamily,NA,NA,nucleic acid level,12.091168,6.6191463,6.6729,2.415549,0.33185324,0.14779788,
P06565,Conus marmoreus,Wild type,conotoxin,NA,NA,NA,nucleic acid level,12.302856,5.862758,4.2367587,2.3163664,-0.28294417,1.7550975,
P06566,Conus flavidus,Wild type,conotoxin,Q superfamily,NA,XVI,nucleic acid level,10.072625,1.7040526,4.4718137,-0.11063225,-1.541888,-0.15254903,
P06567,Conus flavidus,Wild type,conotoxin,Q superfamily,NA,XVI,nucleic acid level,10.84983,3.1215723,4.603841,1.0632391,-1.4329327,0.6099648,
P06568,Conus flavidus,Wild type,conotoxin,Q superfamily,NA,XVI,nucleic acid level,11.270569,5.0770383,4.4332957,1.8059231,-0.74565965,0.8108177,
P06569,Conus quercinus,Wild type,conotoxin,Q superfamily,NA,VI/VII,nucleic acid level,9.326543,5.4757323,1.818088,0.2739861,-0.2699124,0.15177922,
P06571,Conus caracteristicus,Wild type,conotoxin,Q superfamily,NA,VI/VII,nucleic acid level,8.923488,6.121324,1.309935,-0.3520286,0.22086045,0.07637281,
P06573,Conus flavidus,Wild type,conotoxin,Q superfamily,NA,VI/VII,nucleic acid level,9.953712,5.2853007,2.0630953,0.8886603,-0.13284618,0.45676154,
P06574,Conus flavidus,Wild type,conotoxin,Q superfamily,NA,VI/VII,nucleic acid level,9.911013,5.223194,1.9759028,0.84934366,-0.13316365,0.50354093,
P06575,Conus flavidus,Wild type,conotoxin,Q superfamily,NA,VI/VII,nucleic acid level,10.009494,5.262152,2.1085746,0.9454999,-0.131421,0.49953467,
P06576,Conus victoriae,Wild type,conotoxin,U superfamily,NA,VI/VII,nucleic acid level,9.714237,3.3116975,3.1489182,0.2787658,-1.0330119,0.42576808,
P06577,Conus victoriae,Wild type,conotoxin,U superfamily,NA,VI/VII,nucleic acid level,9.71014,2.9978042,3.3118138,-0.113125145,-1.1743857,0.2212063,
P06578,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.879064,2.0149686,4.934124,-0.02702309,-1.6538789,0.581317,
P06579,Conus victoriae,Wild type,conotoxin,T superfamily,NA,I,nucleic acid level,10.909682,0.23153791,4.9581904,-0.7294653,-1.4408188,-0.767251,
P06580,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.476204,1.3575568,5.1497135,-0.41040856,-1.4633031,-0.3543827,
P06581,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.413004,0.84233737,5.260315,-1.2715843,-1.5235571,-0.422522,
P06582,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.279333,2.246426,4.8007073,0.1910338,-1.3298767,0.18073173,
P06584,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.338482,0.60033643,5.6254983,-1.1369295,-1.7343216,-0.09008495,
P06587,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.843855,3.5874379,5.419565,1.5903277,-1.0759401,0.8154545,
P06588,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,9.680258,2.6900468,5.117066,0.5983659,-0.6571186,-0.46090716,
P06589,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.44196,5.867583,5.4810724,1.6661037,-0.545231,0.20570341,
P06592,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.264843,1.6915966,5.345681,-0.65853655,-1.74541,0.26553285,
P06593,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.504328,2.04375,4.7357907,0.005104125,-1.5274487,-0.0041608713,
P06596,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.993946,6.342297,5.5401063,2.5914338,-0.018565211,0.5274103,
P06598,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.360759,3.6301122,4.8720694,1.6199454,-0.9969605,0.8908567,
P06599,Conus victoriae,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.599402,2.3232434,5.046031,0.12023654,-1.5313913,-0.068937875,
P06604,Conus victoriae,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.906768,6.4362297,-1.4997293,-1.0421146,0.50438446,0.9455783,
P06605,Conus victoriae,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.285715,5.162907,-2.294899,-1.4724127,0.57295537,1.13102,
P06606,Conus victoriae,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.13498,5.719146,-2.9422092,-1.9630797,0.50059587,1.3062011,
P06607,Conus victoriae,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,7.634408,5.4328327,-2.989747,-1.835844,0.95673674,1.6156068,
P06612,Conus victoriae,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.439002,5.312343,-1.9955693,-1.2920457,0.66647226,0.960683,
P06613,Conus victoriae,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,7.3511643,7.450982,-1.860781,-1.695691,0.86653125,0.6555685,
P06615,Conus victoriae,Wild type,contryphan,O2 superfamily,NA,NA,nucleic acid level,9.341208,6.202095,2.6077168,0.7872215,0.24399635,0.15353186,
P06616,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.591338,6.925366,-2.931251,-1.7417207,0.5401355,0.66804856,
P06619,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.281238,6.4889774,-1.5667912,-0.6050803,0.19867764,0.81456435,
P06621,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.247634,7.0992875,-2.9675155,-1.5023639,0.6423812,0.9926096,
P06623,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.42411,6.7452564,-1.4878714,-0.5777196,0.22068325,0.656635,
P06624,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,XVI,nucleic acid level,11.282753,6.7650614,-2.4140296,-1.1655344,0.437106,1.0898879,
P06626,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.070595,7.428649,-1.5703963,-1.1508671,0.42197862,0.9044903,
P06627,Conus victoriae,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.715468,6.105202,0.75492257,0.04398869,-0.13341428,0.2915135,
P06636,Conus victoriae,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.891601,-0.118694045,5.6568317,-0.98276067,-1.6569554,-0.10009656,
P06637,Conus victoriae,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.578223,-0.18137224,6.116541,-1.3104595,-1.5502743,-0.15523092,
P06639,Conus victoriae,Wild type,unclassified,M superfamily,NA,NA,nucleic acid level,13.490641,4.250384,6.6863585,1.8142837,-0.42816365,0.099140406,
P06645,Conus victoriae,Wild type,conotoxin,I2 superfamily,NA,XI,nucleic acid level,9.183293,7.2460904,-1.3118558,-1.0515884,0.3526,0.70817816,
P06651,Conus victoriae,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,7.6577644,6.4054856,-1.3683516,-1.4395849,0.4151062,0.94292843,
P06656,Conus victoriae,Wild type,conotoxin,H superfamily,NA,VI/VII,protein level,9.885694,5.8605633,2.460515,0.49763024,-0.38722122,0.6298568,
P06657,Conus victoriae,Wild type,unclassified,F superfamily,NA,NA,nucleic acid level,11.831241,7.621623,5.2796216,2.4104714,0.3064461,0.28704593,
P06659,Conus victoriae,Wild type,conotoxin,A superfamily,NA,XXII,nucleic acid level,9.335428,5.4970293,3.3972645,0.871926,-0.5964839,-0.12836006,
P06660,Conus flavidus,Wild type,conotoxin,A superfamily,NA,I,nucleic acid level,8.037491,0.3027521,3.2718976,-1.2523674,-1.3876389,-0.61355793,
P06661,Conus victoriae,Wild type,conodipine,NA,NA,NA,nucleic acid level,-0.6025227,2.901467,0.6810178,-0.90066946,0.96011233,0.11794142,
P06662,Conus victoriae,Wild type,conodipine,NA,NA,NA,nucleic acid level,-0.8171542,2.6978836,0.4930955,-0.912911,0.97683036,0.15689252,
P06663,Conus victoriae,Wild type,conodipine,NA,NA,NA,nucleic acid level,-0.49208966,3.0452971,0.79987115,-0.71315265,0.9360342,-0.19944659,
P06664,Conus victoriae,Wild type,conantokin,NA,NA,NA,nucleic acid level,12.556252,8.255337,5.437093,2.13416,0.48604488,0.12071929,
P06665,Conus victoriae,Wild type,conotoxin,NA,NA,XXI,nucleic acid level,9.4902,6.716866,4.2083287,1.7523633,0.13295968,0.5358381,
P06666,Conus victoriae,Wild type,unclassified,NA,NA,NA,nucleic acid level,12.395422,9.226134,6.8139973,1.4691852,0.62884456,-0.53158635,
P06669,Conus californicus,Wild type,conotoxin,Divergent MKVAVVLLVS,NA,XIV,nucleic acid level,9.562739,8.157128,5.989435,0.6170877,0.10449167,-0.5120294,
P06670,Conus rattus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.199183,0.25428763,7.670932,-1.4116048,-1.4089384,-0.09311679,
P06673,Conus victoriae,Wild type,conomarphin,M superfamily,NA,NA,nucleic acid level,13.859475,4.1970325,6.7680435,1.9494481,-0.39793146,0.42665434,
P06674,Conus victoriae,Wild type,conomarphin,M superfamily,NA,NA,nucleic acid level,12.381033,6.040587,4.4993153,1.8341873,0.46969298,1.0486485,
P06722,Conus miles,Precursor,conotoxin,G2 superfamily,NA,XXVII,nucleic acid level,7.4565363,9.857633,3.5636017,0.011217328,0.79591763,-0.6128392,
P06725,Conus eburneus,Precursor,conotoxin,NA,NA,NA,nucleic acid level,11.968031,7.7899218,-2.538034,-1.766321,0.5940133,0.6339496,
P06727,Conus victoriae,Precursor,elvenin,NA,NA,NA,protein level,9.540539,11.049597,5.9782066,-0.36243996,1.374528,-1.6143037,
P06730,Conus victoriae,Precursor,prohormone-4,NA,NA,NA,protein level,7.8393154,8.668395,3.962399,0.30795714,0.8621157,-0.9156797,
P06732,Conus generalis,Wild type,conotoxin,D superfamily,NA,XX,nucleic acid level,12.223121,5.7644167,6.8667054,2.3004684,-0.048654567,0.30802846,
P06733,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.9286594,8.916021,-0.2624754,-1.3709528,0.87102383,1.0503454,
P06734,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.857009,8.921596,-0.24473642,-1.3248844,0.79916346,1.073533,
P06735,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.963238,8.965198,-0.23441812,-1.3383301,0.78047955,1.1225681,
P06736,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.9585123,8.893461,-0.3291898,-1.3100616,0.8070213,1.1133555,
P06737,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.8924265,8.7439995,-0.2872216,-1.320023,0.81017405,1.0068923,
P06738,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.9943523,8.810197,-0.30519456,-1.1807718,0.8323759,1.026857,
P06739,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.9006042,8.875155,-0.37783468,-1.3696139,0.74130183,1.082575,
P06740,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.061741,8.727791,-0.49869287,-1.2278786,0.81143594,1.0418364,
P06741,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.8369446,8.755435,-0.39812505,-1.3071761,0.82665086,1.0554682,
P06742,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.9201617,8.835388,-0.32731038,-1.3084973,0.7576524,1.0781624,
P06743,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.8276796,8.759624,-0.29584914,-1.2877966,0.7588905,1.0522045,
P06744,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.121896,8.407462,-0.41138104,-0.9382095,0.524741,0.7148513,
P06745,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.8019876,8.616568,-0.49479645,-1.3515278,0.7915063,0.8912179,
P06746,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.625939,8.543953,-0.595327,-1.4556773,0.6617379,0.8882241,
P06747,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.376062,7.546501,-0.095984705,0.018140145,0.45819604,0.6543382,
P06748,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.224775,8.077554,-0.17184302,-0.1545211,0.66327584,0.7756556,
P06749,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.397542,7.5575395,-0.23988543,0.045137417,0.46222222,0.8977732,
P06750,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.093245,8.396968,-0.33146837,-0.80524325,0.48491877,0.76352257,
P06751,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.113848,8.310635,-0.3667736,-0.9198689,0.47328222,0.7784098,
P06752,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.040168,8.678813,-0.3227587,-1.0624446,0.7073268,0.9961424,
P06753,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,7.959987,8.686416,-0.35803002,-1.1186513,0.71437687,0.99522465,
P06754,Conus miles,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.9914985,8.736151,-0.32516944,-1.1556361,0.7088069,0.8299726,
P06755,Conus miles,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.374654,7.560303,-0.3629636,-0.5536182,0.48906854,0.68250537,
P06756,Conus miles,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.427333,7.542854,-0.35667634,-0.56303036,0.47272843,0.6825408,
P06757,Conus miles,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.467015,7.728332,-0.31197804,-0.8333029,0.5672478,0.65856266,
P06758,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.449541,7.07247,-0.31714737,-0.9205357,0.9134367,0.5843536,
P06759,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.39186,6.927614,-0.48909256,-1.0073516,0.9515596,0.6723927,
P06760,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.601847,7.436462,-0.39841166,-0.3756582,0.78846955,0.9357058,
P06761,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.550939,7.372075,-0.299849,-0.32251018,0.76426053,0.875566,
P06762,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.596506,7.432821,-0.30837366,-0.2930551,0.71093583,0.9185842,
P06763,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.653224,7.478149,-0.46967268,-1.0163682,0.8392012,1.2187496,
P06764,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,9.471077,6.8631887,-1.084304,-0.92331314,0.22302873,0.47429693,
P06765,Conus miles,Wild type,conotoxin,O2 superfamily,NA,XV,nucleic acid level,8.76144,8.610188,-1.0926481,-1.2056376,0.4644148,0.81627184,
P06766,Conus miles,Wild type,conotoxin,D superfamily,NA,XX,nucleic acid level,10.09333,4.2171884,2.9228852,0.7597292,-0.602915,0.29779655,
P06767,Conus miles,Wild type,conotoxin,L superfamily,NA,XXIV,nucleic acid level,10.297114,1.2087737,4.3354635,-0.12929776,-1.6178511,-0.14994834,
P06768,Conus miles,Wild type,conotoxin,I2 superfamily,NA,XI,nucleic acid level,9.469411,6.2140746,2.2790856,0.7312809,0.1759005,0.33126467,
P06769,Conus miles,Wild type,conotoxin,NA,NA,XIII,nucleic acid level,8.979882,4.576245,2.059648,0.19210391,-0.8451135,0.09061539,
P06770,Conus miles,Wild type,conotoxin,G2 superfamily,NA,XXVII,protein level,9.5444,5.704069,1.5842514,0.21462741,-0.04665804,0.78266644,
P06771,Conus miles,Wild type,conotoxin,G2 superfamily,NA,XXVII,nucleic acid level,9.441552,5.574452,1.6022935,0.17485574,-0.0334962,0.82790697,
P06772,Conus miles,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,8.051085,5.9559984,-1.5921001,-1.1193663,0.8469981,1.0843772,
P06773,Conus eburneus,Wild type,conotoxin,NA,NA,VI/VII,protein level,12.132017,7.753307,-2.6510754,-1.9807348,0.50554925,0.77477205,
P06776,Conus limpusi,Wild type,conotoxin,NA,NA,I,protein level,5.8550887,0.38714436,4.604951,-1.8409417,-1.0865937,-0.6512381,
P06805,Conus suturatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,protein level,11.977103,7.4855275,-2.6498616,-1.8844321,0.4498392,0.7059333,
P06806,Conus miliaris,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.869152,7.720841,-2.2603667,-1.7526519,0.2907969,0.6636971,
P06807,Conus frigidus,Precursor,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,4.1413794,12.319004,3.8277621,-0.7989619,1.3084139,-0.8456781,
P06809,Conus frigidus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.074905,7.5287533,-2.1520271,-1.4916501,0.50034934,0.5584233,
P06810,Conus victoriae,Wild type,conorfamide,NA,NA,NA,protein level,12.997955,4.9102116,6.6010695,2.4176688,-0.03037825,0.42081898,
P06811,Conus victoriae,Wild type,unclassified,H superfamily,NA,NA,protein level,13.357893,3.6612227,6.870986,1.3216683,-0.17412215,-0.48232472,
P06812,Conus victoriae,Precursor,conorfamide,NA,NA,NA,nucleic acid level,9.98414,10.863256,6.039386,0.5588137,1.0336182,-1.4309931,
P06813,Conus victoriae,Wild type,unclassified,H superfamily,NA,NA,protein level,11.959107,7.728687,5.02952,2.3487008,0.41582158,0.28124338,
P06814,Conus textile,Wild type,conotoxin,NA,NA,V,protein level,10.362508,1.1334152,5.132191,-0.78772146,-1.552611,-0.4390798,
P06822,Conus geographus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,protein level,9.316278,6.614257,-1.0597831,-0.9572845,0.30421093,0.7256032,
P06824,Conus figulinus,Wild type,conotoxin,M superfamily,NA,III,protein level,11.9043255,-3.3786948,5.5889964,-1.8519071,-1.5143352,-0.45847094,
P06826,Conus figulinus,Wild type,conotoxin,M superfamily,NA,III,protein level,11.938746,-3.28703,5.326836,-1.9060582,-1.4880663,-0.37653163,
P06827,Conus figulinus,Wild type,conotoxin,NA,NA,V,protein level,10.714319,1.3852061,5.0795555,-0.62674546,-1.599772,-0.075570814,
P06828,Conus figulinus,Wild type,contryphan,NA,NA,NA,protein level,13.297468,1.734972,5.4049478,-0.41853118,-1.3933585,-0.07379021,
P06829,Conus figulinus,Wild type,contryphan,NA,NA,NA,protein level,13.349736,1.1463383,5.01375,0.48601258,-0.7660254,0.013830214,
P06830,Conus figulinus,Wild type,contryphan,NA,NA,NA,protein level,13.7967,2.5168507,5.688259,1.2358091,-0.96229416,0.10818508,
P06831,Conus textile,Wild type,conotoxin,NA,NA,I,protein level,6.8528757,0.25357267,4.2641544,-1.3745711,-1.2698336,-0.7712559,
P06837,Conus sanguinolentus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.117983,6.722761,-1.3050007,-0.4299556,0.3259046,0.36087236,
P06841,Conus miliaris,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.613443,7.239666,-1.2024398,-0.8128956,0.23628211,0.71382475,
P06843,Conus sanguinolentus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.392739,6.923632,-1.6632359,-0.99387753,0.47982526,0.6664119,
P06847,Conus varius,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,12.139668,7.6816473,-2.3919408,-1.9115735,0.569618,0.7267382,
P06849,Conus tessulatus,Wild type,conotoxin,NA,NA,VI/VII,protein level,12.218333,7.639351,-2.489846,-1.6303867,0.45716643,0.57330817,
P06850,Conus varius,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.629802,7.647602,-2.1764057,-1.5679821,0.47113472,0.8444478,
P06852,Conus varius,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.657561,7.817732,-2.4385288,-1.7490903,0.6770726,1.036167,
P06854,Conus varius,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.728608,6.937833,-1.5916308,-1.051831,-0.051397424,0.7812031,
P06858,Conus virgo,Wild type,conotoxin,A superfamily,NA,I,protein level,6.0568566,0.66854185,4.4646277,-1.6594214,-1.0884496,-0.59158176,
P06866,Conus victoriae,Wild type,elvenin,NA,NA,NA,protein level,12.629516,5.1874886,6.325648,2.4991515,-0.07493038,0.41289756,
P06867,Conus victoriae,Wild type,prohormone-4,NA,NA,NA,protein level,13.431119,3.943512,6.7721295,1.6822643,-0.22907571,-0.011117936,
P06868,Conus victoriae,Precursor,thyrostimulin,NA,NA,NA,nucleic acid level,4.871654,6.7903733,2.5723996,-1.0991285,1.5275164,-0.47834104,
P06869,Conus victoriae,Precursor,thyrostimulin,NA,NA,NA,nucleic acid level,5.1188536,6.888305,2.495188,-1.3221214,1.4873415,-0.5296405,
P06870,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.3204746,4.647676,3.4587271,-0.38051027,1.1717478,-0.9288519,
P06871,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.4010408,4.702608,3.52267,-0.3210549,1.1332605,-0.897758,
P06872,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.334022,4.5870805,3.3777847,-0.2982281,1.1462667,-0.85666925,
P06892,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.6122842,4.838908,3.5750282,-0.46503127,1.1023428,-0.86893183,
P06893,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.5747848,4.7042212,3.5028112,-0.43023962,1.1087724,-0.8441239,
P06894,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.256346,4.594589,3.581289,-0.4801567,1.2213978,-0.9987101,
P06895,Conus geographus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.2917185,4.63353,3.4573522,-0.5394071,1.2336485,-1.0013089,
P06896,Conus tulipa,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.235214,4.5791855,3.385529,-0.33067977,1.177191,-0.89529157,
P06897,Conus textile,Wild type,conorphin,T superfamily,NA,V,protein level,11.636577,0.94216484,5.502298,-0.8399267,-1.8507966,-0.015721686,
P06918,synthetic construct,Wild type,conorphin,NA,NA,V,protein level,11.642739,1.0355691,5.4083304,-0.6986376,-1.8969415,0.093119666,
P06930,Conus tulipa,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.1937838,4.6003866,3.4400241,-0.35781467,1.1765915,-0.9323917,
P06931,Conus tulipa,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.1371808,4.586682,3.411688,-0.40482247,1.1857121,-0.9798101,
P06934,Conus geographus,Wild type,coninsulin,Insulin superfamily,NA,NA,protein level,12.513572,6.053563,5.49839,2.4817288,0.15072948,0.70825106,
P06935,Conus geographus,Wild type,coninsulin,Insulin superfamily,NA,NA,protein level,5.4939084,4.4489355,3.8989718,-1.5978087,0.80093026,-0.22682366,
P06936,Conus geographus,Wild type,coninsulin,Insulin superfamily,NA,NA,protein level,12.458783,5.7846775,6.109016,2.5818934,-0.008961204,0.2609966,
P06937,Conus geographus,Wild type,coninsulin,Insulin superfamily,NA,NA,protein level,5.5073175,4.3238626,4.032027,-1.3769003,0.7576516,-0.16540131,
P06940,Conus textile,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.536332,4.828922,3.67679,-0.5343224,1.2075992,-0.8681725,
P06941,Conus marmoreus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.6491435,4.764292,3.5275328,-0.57217574,1.1901852,-0.9403589,
P06942,Conus imperialis,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.413156,4.8408413,3.5569246,-0.78033954,1.2656007,-1.1348214,
P06943,Conus imperialis,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.568858,4.9282594,3.505378,-0.9362781,1.3265997,-1.1147846,
P06944,Conus quercinus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.571155,4.7712827,3.5692177,-0.6647259,1.2406765,-0.9222902,
P06945,Conus quercinus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.500723,4.878802,3.650437,-0.7606787,1.2837752,-0.9099163,
P06946,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.6772952,4.929102,3.6665556,-0.71238166,1.2797643,-0.89080316,
P06947,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.6053207,4.9523416,3.7248445,-0.70949644,1.2968901,-0.93613845,
P06948,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.60106,4.858977,3.6423469,-0.6962222,1.3055193,-0.9385795,
P06949,Conus floridulus,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.511079,4.9615436,3.570397,-0.71029866,1.2948959,-0.9372159,
P06950,Conus memiae,Precursor,coninsulin,Insulin superfamily,NA,NA,nucleic acid level,3.6021965,4.916412,3.6900554,-0.53218627,1.1762983,-0.90089977,
P06978,Conus princeps,Wild type,conotoxin,NA,NA,VI/VII,protein level,7.6174383,5.7383323,-2.9987006,-1.851847,0.70565355,1.5980494,
P07009,Conus vexillum,Wild type,conotoxin,D superfamily,NA,XX,nucleic acid level,10.04773,4.351231,2.6514459,0.7255953,-0.6015324,0.5347299,
P07010,Conus vexillum,Precursor,conotoxin,D superfamily,NA,XX,nucleic acid level,8.901359,9.971196,3.9739373,0.28152943,0.5139774,-1.1511787,
P07011,Conus vexillum,Wild type,conantokin,O2 superfamily,NA,VI/VII,protein level,8.282626,5.7752614,-1.5610615,-0.97773796,0.6558755,0.65931684,
